"Privacy Settings","Configurações de Privacidade"
"Invalid Policy action.","Ação de Política inválida."
"Privacy policy accepted.","Política de Privacidade aceita."
"Unable to save actionLog with ID %1. Error: %2","Incapaz de salvar actionLog com ID %1. Erro: %2"
"Unable to save new actionLog. Error: %1","Não foi possível salvar o novo actionLog. Erro: %1"
"ActionLog with specified ID ""%1"" not found.","ActionLog com ID especificado ""%1"" não encontrado."
"Unable to remove actionLog with ID %1. Error: %2","Incapaz de remover actionLog com ID %1. Erro: %2"
"Unable to remove actionLog. Error: %1","Incapaz de remover actionLog. Erro: %1"
"Delete Request Submitted","Solicitação de Exclusão Enviada"
"Delete Request Approved","Solicitação de Exclusão Aprovada"
"Delete Request Denied","Solicitação de Exclusão Negada"
"Data Anonymised by Customer","Dados Anonimizados pelo Cliente"
"Data Anonymised by Admin","Dados Anonimizados pelo Administrador"
"Personal Data Deleted by Admin","Dados Pessoais Excluídos pelo Administrador"
"Automatic Delete","Exclusão Automática"
"Customer's Request","Pedido do Cliente"
Pending,Pendente
Success,Sucesso
Fail,Falhou
Allow,Permitir
"Don't Allow for Statuses","Não Permitir Status"
"Don't Delete","Não Apague"
"Yes (Recommended)","Sim (Recomendado)"
No,Não
"[STORE VIEW]","[VISÃO DA LOJA]"
"Consent with specified ID ""%1"" not found.","Consentimento com ID especificado ""%1"" não encontrado."
"Consent with consent code %1 not found","Consentimento com Código de %1 não encontrado"
"Unable to remove model without id","Incapaz de remover o modelo sem id"
"Unable to remove consent, message is %1","Incapaz de remover o consentimento, a mensagem é %1"
"Unable to save consent with ID %1. Error: %2","Incapaz de salvar consentimento com ID %1. Erro: %2"
"Unable to save new consent. Error: %1","Incapaz de salvar o novo consentimento. Erro: %1"
"Data consistency is broken.
                    There is no entity by default store for a consent with ID %1","Data consistency is broken.
                    There is no entity by default store for a consent with ID %1"
"Unable to save deleteRequest with ID %1. Error: %2","Unable to save deleteRequest with ID %1. Error: %2"
"Unable to save new deleteRequest. Error: %1","Unable to save new deleteRequest. Error: %1"
"DeleteRequest with specified ID ""%1"" not found.","DeleteRequest with specified ID ""%1"" not found."
"Unable to remove deleteRequest with ID %1. Error: %2","Unable to remove deleteRequest with ID %1. Error: %2"
"Unable to remove deleteRequest. Error: %1","Unable to remove deleteRequest. Error: %1"
Registration,Cadastro
Checkout,Checkout
"Contact Us","Contate-Nos"
"Newsletter Subscription","Assinatura de Newsletter"
Email,Email
"Optional Consent at Account Privacy Settings","Consentimento Opcional nas Configurações de Privacidade da Conta"
Draft,Rascunho
Disabled,Desabilitado
Enabled,Habilitado
"Policy is active","A Política está ativa"
"Unable to save policy with ID %1. Error: %2","Incapaz de salvar a política com ID %1. Erro: %2"
"Unable to save new policy. Error: %1","Não foi possível salvar a nova política. Erro: %1"
"Policy with specified ID ""%1"" not found.","Política com ID especificada ""%1"" não encontrada."
"Unable to remove policy with ID %1. Error: %2","Incapaz de remover a política com ID %1. Erro: %2"
"Unable to remove policy. Error: %1","Incapaz de remover a política. Erro: %1"
"Unable to save consentQueue with ID %1. Error: %2","Incapaz de salvar consentQueue com ID %1. Erro: %2"
"Unable to save new consentQueue. Error: %1","Unable to save new consentQueue. Error: %1"
"ConsentQueue with specified ID ""%1"" not found.","ConsentQueue with specified ID ""%1"" not found."
"Unable to remove consentQueue with ID %1. Error: %2","Unable to remove consentQueue with ID %1. Error: %2"
"Unable to remove consentQueue. Error: %1","Unable to remove consentQueue. Error: %1"
"Unable to save withConsent with ID %1. Error: %2","Unable to save withConsent with ID %1. Error: %2"
"Unable to save new withConsent. Error: %1","Unable to save new withConsent. Error: %1"
"WithConsent with specified ID ""%1"" not found.","WithConsent with specified ID ""%1"" not found."
"Unable to remove withConsent with ID %1. Error: %2","Unable to remove withConsent with ID %1. Error: %2"
"Unable to remove withConsent. Error: %1","Unable to remove withConsent. Error: %1"
Guest,Convidado
"Checkbox Location Option Group has empty name","Checkbox Location Option Group has empty name"
"Option Source with code %1 not implements OptionSourceInterface","Option Source with code %1 not implements OptionSourceInterface"
name,nome
"Privacy Policy Popup","Popup da Política de Privacidade"
"GDPR Privacy policy","Política de Privacidade do GDPR"
"CMS Page","Página CMS"
"All Countries","Todos os Países"
"EEA Countries","Países EEA"
"Specified Countries","Países Específicos"
Accept,Aceitar
Decline,Recusar
"Privacy Checkbox","Caixa de Seleção de Privacidade"
"You can see queue of sending e-mail consents <a target=""_blank"" href=""%1"">here</a>.","You can see queue of sending e-mail consents <a target=""_blank"" href=""%1"">here</a>."
"Kindly be informed that Active or Disabled Privacy Policy cannot be amended. Please use the CLONE function to create a new Privacy Policy version and amend the text.","Kindly be informed that Active or Disabled Privacy Policy cannot be amended. Please use the CLONE function to create a new Privacy Policy version and amend the text."
"Current Password","Senha Atual"
"I have read and accept","Eu li e aceito"
"Personal Data Protection","Proteção de Dados Pessoais"
General,Geral
"On the Frontend.","No frontend (vitrine da loja)."
"Display Privacy Policy Popup on First Visit","Display Privacy Policy Popup on First Visit"
"When a new customer opens the website, the privacy policy popup will be displayed. When a new version of
                        Privacy Policy is issued, the popup will be displayed to those users who have not accepted the policy yet.","When a new customer opens the website, the privacy policy popup will be displayed. When a new version of
                        Privacy Policy is issued, the popup will be displayed to those users who have not accepted the policy yet."
"Log Guest Consent","Log Guest Consent"
"If enabled, guest users who give the consent will be logged and displayed in Consent Log.","If enabled, guest users who give the consent will be logged and displayed in Consent Log."
"Log Auto-Cleaning","Log Auto-Cleaning"
"The records that were saved for a longer period than the specified below will be automatically removed from Consent and Action Logs.","The records that were saved for a longer period than the specified below will be automatically removed from Consent and Action Logs."
"Log Auto-Cleaning Period (Days)","Log Auto-Cleaning Period (Days)"
"The records that were saved for a longer period than you specified in the field will be automatically removed from Consent and Action Logs.","The records that were saved for a longer period than you specified in the field will be automatically removed from Consent and Action Logs."
"Customer’s Account Privacy Settings","Customer’s Account Privacy Settings"
"Allow Downloading Personal Data","Allow Downloading Personal Data"
"If enabled, customers will be able to download their personal data.","If enabled, customers will be able to download their personal data."
"Allow Anonymizing Personal Data","Allow Anonymizing Personal Data"
"If enabled, customers will be able to anonymize their personal data.","If enabled, customers will be able to anonymize their personal data."
"Allow Deleting Account","Allow Deleting Account"
"If enabled, customers will be able to delete their accounts.","If enabled, customers will be able to delete their accounts."
"Allow Opting Out from Given Consent","Allow Opting Out from Given Consent"
"If enabled, the section Given Consent will be added to customer account for customers to be able to opt
                        in or opt out from given consent. The checkboxes with the enabled option ‘Hide the Checkbox after User Gave the Consent’
                        will be displayed under the Given Consent section. When the option 'Hide the Checkbox after User Gave the Consent’
                        is disabled for checkboxes, they will not be added to the Given Consent section since the system will always display
                        these checkboxes on selected forms even if the consent was given.","If enabled, the section Given Consent will be added to customer account for customers to be able to opt
                        in or opt out from given consent. The checkboxes with the enabled option ‘Hide the Checkbox after User Gave the Consent’
                        will be displayed under the Given Consent section. When the option 'Hide the Checkbox after User Gave the Consent’
                        is disabled for checkboxes, they will not be added to the Given Consent section since the system will always display
                        these checkboxes on selected forms even if the consent was given."
"Display Data Protection Officer Information","Display Data Protection Officer Information"
"If enabled, customers will be able to get information about your Data Protection Officer added to a separate section
                        at their accounts.","If enabled, customers will be able to get information about your Data Protection Officer added to a separate section
                        at their accounts."
"Section Name","Section Name"
"Data Protection Officer information","Data Protection Officer information"
"Personal Data Deletion and Anonymization","Personal Data Deletion and Anonymization"
"Automatic Personal Data Deletion","Automatic Personal Data Deletion"
"Delete Personal Data of Abandoned Customer’s Accounts","Delete Personal Data of Abandoned Customer’s Accounts"
"The extension will scan customers and their orders.
                            If a customer’s last order was made earlier than the specified number of days the extension will create a deletion request.
                            You will be able to find it on the ‘Delete Requests’ grid","The extension will scan customers and their orders.
                            If a customer’s last order was made earlier than the specified number of days the extension will create a deletion request.
                            You will be able to find it on the ‘Delete Requests’ grid"
"Abandoned Customer’s Accounts Automatic Deletion Period (Days)","Abandoned Customer’s Accounts Automatic Deletion Period (Days)"
"The extension will scan customers and their orders.
                            If a customer’s last order was made earlier than the specified number of days the extension will create a deletion request.
                            You will be able to find it on the ‘Delete Requests’ grid.","The extension will scan customers and their orders.
                            If a customer’s last order was made earlier than the specified number of days the extension will create a deletion request.
                            You will be able to find it on the ‘Delete Requests’ grid."
"Prevent Data Deletion of Recent Orders","Prevent Data Deletion of Recent Orders"
"Deletion of Personal Data in Recent Documents","Deletion of Personal Data in Recent Documents"
"When a customer asks to delete personal data and the request is approved, the extension deletes their account, subscriptions, and the data in orders, invoices, shipments, and credit memos.
                            Given disabled, it could cause problem for a store owner as these should be stored for a specific period of time.<br><br>

                            The feature keeps personal data untouched in orders, invoices, shipments and credit memos for the set period after deleting customer’s account. When the period expires the personal data in the documents will be automatically deleted.","When a customer asks to delete personal data and the request is approved, the extension deletes their account, subscriptions, and the data in orders, invoices, shipments, and credit memos.
                            Given disabled, it could cause problem for a store owner as these should be stored for a specific period of time.<br><br>

                            The feature keeps personal data untouched in orders, invoices, shipments and credit memos for the set period after deleting customer’s account. When the period expires the personal data in the documents will be automatically deleted."
"Prevent Data Deletion Period (Days)","Prevent Data Deletion Period (Days)"
"After a customer deletes the account, personal data will stay untouched in orders, invoices, shipments and credit memos for the set period.
                            When the set time expires the personal data will be automatically deleted.","After a customer deletes the account, personal data will stay untouched in orders, invoices, shipments and credit memos for the set period.
                            When the set time expires the personal data will be automatically deleted."
"Anonymization/Deletion of Personal Data for Orders in Specified Status(es)","Anonymization/Deletion of Personal Data for Orders in Specified Status(es)"
"Order Statuses","Status do Pedido"
"Forbid Customer's Personal Data Anonymization and Deletion if They Have Gift Registries","Forbid Customer's Personal Data Anonymization and Deletion if They Have Gift Registries"
"Email Notifications","Notificações de Email"
"Anonymization Notifications","Notificações de Anonimato"
"Email Sender","Remetente do Email"
"Email Reply To","Responder por Email Para"
"You can set only one email address in this field.","Você pode definir apenas um endereço de e-mail neste campo."
"Specify the email address for customer's replies or leave blank to use the sender address.","Especifique o endereço de e-mail para as respostas do cliente ou deixe em branco para usar o endereço do remetente."
"Email Template","Modelo de Email"
"Deletion Notifications","Notificações de Exclusão"
"Manager Notification","Notificação do Gerente"
"Notify Manager on Deletion Request","Notificar o Gerente sobre Solicitação de Exclusão"
"Send Email To","Enviar um Email Para"
"This will be used in the ""To"" field. Several emails should be written on a separate line.","Isso será usado no campo ""Para"". Se for vários e-mails, eles devem ser escritos em uma linha separada."
"Customer’s Approval Notification","Customer’s Approval Notification"
"Customer’s Deny Notification","Notificação de Negação do Cliente"
"Default Magento Forms","Formulários Padrão do Magento"
"Amasty Extension Forms","Formulários da Extensão Amasty"
"Are you sure?","Tem certeza?"
"Customer ID","Identificação do Cliente"
"Customer Name","Nome do Cliente"
"IP Address","Endereço IP"
Date,Data
Action,Ação
Comment,Comentário
"Checkbox Location","Localização da Caixa de Seleção"
"Remote IP Address","Endereço IP Remoto"
"Checkbox Code","Código da Caixa de Seleção"
"Policy Version","Versão da Política"
Website,Website
Status,Status
"Edit Checkbox","Editar Caixa de Seleção"
Back,Voltar
"Save Checkbox","Salvar Caixa de Seleção"
"Checkbox Name","Nome da Caixa de Seleção"
"Confirmation Required","Necessária Confirmação"
"Hide the Checkbox after User Gave the Consent","Ocultar a caixa de seleção depois que o usuário der o consentimento"
"If enabled, the system will always log consents to the checkbox.
                            Moreover, the checkbox will be also added to customer account under the section 'Given Consent' to opt in or opt out from consent.","If enabled, the system will always log consents to the checkbox.
                            Moreover, the checkbox will be also added to customer account under the section 'Given Consent' to opt in or opt out from consent."
"Log the Consent","Log the Consent"
"Checkbox Position","Checkbox Position"
"You can use the <a> tag in the text and also the {link} variable to insert the privacy policy link into the checkbox text.
                    Example: I have read and accept the <a href=""{link}"">privacy policy</a>
                    ","You can use the <a> tag in the text and also the {link} variable to insert the privacy policy link into the checkbox text.
                    Example: I have read and accept the <a href=""{link}"">privacy policy</a>
                    "
"Consent Link Type","Tipo de Link de Consentimento"
"Countries Restrictment","Restrição de Países"
"Display for Specific Countries","Exibir para Países Específicos"
"New Checkbox","Nova Caixa de Seleção"
"Delete checkboxes","Excluir Caixas de Seleção"
"Are you sure you want to delete selected checkboxes?","Tem certeza de que deseja excluir as caixas de seleção selecionadas?"
ID,ID
Name,Nome
Enable,Habilitar
"Is Required","É Necessário"
"Log The Consent","Registrar o Consentimento"
Edit,Editar
Version,Versão
Policy,Política
"Add New Policy","Adicionar Nova Política"
"Delete policies","Apagar Políticas"
"Are you sure you want to delete selected policies?","Tem certeza de que deseja excluir as políticas selecionadas?"
Id,Id
"Date Created","Data Criada"
"Version Number","Número da Versão"
"Last Edited","Última Edição"
"Last Edited By","Última Edição por"
"Approve Delete Request(s)","Aprovar Solicitação(ões) de Exclusão"
"Are you sure you want to approve selected requests?","Tem certeza de que deseja aprovar as solicitações selecionadas?"
"Deny Delete Request(s)","Negar Solicitação(ões) de Exclusão"
"Date Submitted","Data Enviada"
"Customer Email","Email do Cliente"
"Initiator of Deletion","Iniciador de Exclusão"
"Completed Orders Qty","Quantidade de Pedidos Concluídos"
"Pending Orders Qty","Quantidade de Pedidos Pendentes"
"Email Consent Request","Solicitação de Consentimento por Email"
"Date Consented","Data de Consentimento"
"Got From","Obtido de"
Country,País
