"Advanced Pricing","Preços Avançados"
"Total of %1 products(s) have not been updated, the reason: impossibility to change attribute set for configurable product","Total de %1 produto(s) não foram atualizados, motivo: impossibilidade de alterar o conjunto de atributos para o produto configurável"
"Change Visibility","Alterar Visibilidade"
"Are you sure you want to change visibility?","Tem certeza de que deseja alterar a visibilidade?"
"Can not change visibility for product ID %1, error is: %2","Não é possível alterar a visibilidade do ID do produto %1, o erro é: %2"
"Copy Attributes","Copiar Atributos"
"Are you sure you want to copy attributes?","Tem certeza de que deseja copiar os atributos?"
From,De
"ID of product","ID do Produto"
"Please provide a valid product ID","Forneça um ID de produto válido"
"Please remove source product from the selected products","Remova o produto de origem dos produtos selecionados"
"Please set attribute codes in the module configuration","Defina os códigos de atributo na configuração do módulo"
"There is no product attribute with code `%1`, please compare values in the module configuration with stores > attributes > product.","Não há atributo de produto com o código `%1`, compare os valores na configuração do módulo com Lojas > Atributos > Produto."
"Attribute `%1` is unique and can not be copied. Please remove the code in the module configuration.","O atributo `%1` é único e não pode ser copiado. Remova o código na configuração do módulo."
"Attribute `%1` is static and can not be copied. Please remove the code in the module configuration.","O atributo `%1` é estático e não pode ser copiado. Remova o código na configuração do módulo."
"Attributes have been successfully copied.","Os atributos foram copiados com sucesso."
"Copy Cross-sells","Copiar Vendas Cruzadas"
"Are you sure you want to copy cross-sells?","Tem certeza de que deseja copiar as Vendas Cruzadas?"
"Copy Images","Copiar Imagens"
"Are you sure you want to copy images?","Tem certeza que deseja copiar as imagens?"
"Product ID","ID do Produto"
"Can not copy images to product with ID %1","Não é possível copiar imagens para o produto com ID %1"
"Images and labels has been successfully copied","Imagens e rótulos foram copiados com sucesso"
"Can not copy image file: %1","Não é possível copiar o arquivo de imagem: %1"
"Image not found.","Imagem não encontrada."
"Copy Custom Options","Copiar Opções Personalizadas"
"Are you sure you want to copy custom options?","Tem certeza de que deseja copiar as Opções Personalizadas?"
"Please provide a product with custom options","Forneça um produto com opções personalizadas"
"Can not copy the options to the product ID=%1, the error is: %2","Não é possível copiar as opções para o ID do Produto=%1, o erro é: %2"
"Copy Relations","Copiar Relações"
"Are you sure you want to copy relations?","Tem certeza de que deseja Copiar as Relações?"
"Source product has no relations","O produto de origem não tem relações"
"Product association has been successfully added.","A associação do produto foi adicionada com sucesso."
"%1 product associations have been successfully added.","%1 associações de produtos foram adicionadas com sucesso."
"Copy Up-sells","Copiar Up-sells"
"Are you sure you want to copy up-sells?","Tem certeza de que deseja copiar as opções de Up-sells?"
Cross-sell,Venda Cruzada
"Are you sure you want to cross-sell?","Tem certeza que deseja copiar as opções de Venda Cruzada?"
"Selected To IDs","Selecionado para os IDs"
"Update All Types of Prices","Atualizar Todos os Tipos de Preços"
"Are you sure you want to update all types of prices?","Tem certeza de que deseja atualizar Todos os Tipos de Preços?"
By,Por
"+12.5, -12.5, +12.5%","+12.5, -12.5, +12.5%"
"Update Cost","Atualizar Custo"
"Are you sure you want to update cost?","Tem certeza que deseja atualizar o Custo?"
"Update Price","Atualizar Preço"
"Are you sure you want to update price?","Tem certeza que deseja atualizar o Preço?"
"Please provide the difference as +12.5, -12.5, +12.5% or -12.5%","Forneça a diferença como +12.5, -12.5, +12.5% ou -12.5%"
"Please provide a non empty difference","Por favor, forneça uma diferença não vazia"
"Total of %1 products(s) have been successfully updated","Total de %1 produto(s) foram atualizado(s) com sucesso"
"Update Special Price","Atualizar Preço Especial"
"Are you sure you want to update special price?","Tem certeza que deseja Atualizar o Preço Especial?"
Relate,Relacionar
"Are you sure you want to relate?","Tem certeza que deseja usar o Relacionar?"
"Please select more than 1 product","Selecione mais de 1 produto"
"Remove Category","Remover Categoria"
"Are you sure you want to remove category?","Tem certeza que deseja remover a Categoria?"
"Remove Images","Remover Imagens"
"Are you sure you want to remove images?","Tem certeza que deseja remover as imagens?"
"Images and labels has been successfully deleted","As imagens e rótulos foram excluídos com sucesso"
"Can not delete image file: %1","Não é possível excluir o arquivo de imagem: %1"
"%1 is not a file","%1 não é um arquivo"
"Remove Custom Options","Remover Opções Personalizadas"
"Are you sure you want to remove custom options?","Tem certeza de que deseja remover as Opções Personalizadas?"
"Can not remove the options to the product ID=%1, the error is: %2","Não é possível remover as opções para o ID do produto=%1, o erro é: %2"
"Replace Category","Substituir Categoria"
"Are you sure you want to replace category?","Tem certeza que deseja substituir a categoria?"
"Replace Text","Substituir Texto"
"Are you sure you want to replace text?","Tem certeza que deseja substituir o texto?"
Replace,Substituir
search->replace,search->replace
"Replace field must contain: search->replace","O campo de substituição deve conter: search->replace"
"Remove Cross-Sells","Excluir Venda cruzada"
"Are you sure you want to remove cross-Sells?","Tem certeza de que deseja remover a Venda Cruzada?"
"Select Algorithm","Selecione o Algoritmo"
"Remove Relations","Remover Relações"
"Are you sure you want to remove relations?","Tem certeza de que deseja remover as relações?"
"Product associations have been successfully deleted.","As associações de produtos foram excluídas com sucesso."
"Remove Up-sells","Excluir Up-sells"
"Are you sure you want to remove up-sells?","Você tem certeza que deseja remover Up-sells?"
"Update Advanced Prices","Atualizar Preços Avançados"
"Are you sure you want to update prices?","Tem certeza de que deseja atualizar os preços?"
Up-sell,Up-sell
"Are you sure you want to up-sell?","Você tem certeza que quer Up-sell?"
"Before Attribute Text","Antes do Texto do Atributo"
"After Attribute Text","Depois do Texto do Atributo"
label,rótulo
"Selected to IDs","Selecionado para os IDs"
"IDs to Selected","IDs a serem Selecionados"
Default,Padrão
"2 Way","2 Maneiras"
"Multi Way","Várias Maneiras"
"To specific value","Para um valor específico"
"Rounding to two decimal places","Arredondando para duas casas decimais"
"Truncate to two decimal places without rounding","Truncar para duas casas decimais sem arredondamento"
"Rounding to the nearest integer","Arredondando para o número inteiro mais próximo"
Fixed,Fixo
Discount,Desconto
"Remove relations between selected products only","Remover relações apenas entre produtos selecionados"
"Remove selected products from ALL relations in the catalog","Remova os produtos selecionados de TODAS as relações no catálogo"
"Remove all relations from selected products","Remover todas as relações dos produtos selecionados"
"Web Site","Web Site"
"Customer Group","Grupo de Clientes"
Quantity,Quantidade
"Price Type","Tipo de Preço"
"Item Price","Preço do Item"
Action,Ação
Add,Adicionar
"Delete Previously Saved Advanced Pricing","Excluir Preços Avançados Salvos Anteriormente"
Apply,Aplicar
Actions,Ações
"Select Items","Selecione os Itens"
Delete,Excluir
"Delete Tier","Excluir Camada"
"Required field is empty.","O campo obrigatório está vazio."
"Mass Product Actions","Ações em Massa do Produto"
Information,Informação
General,Geral
"Enabled Actions","Ações Habilitadas"
"Press CTRL+mouse to select multiple values.","Pressione CTRL+mouse para selecionar vários valores."
"Price Rounding","Arredondamento de Preços"
"Specific Value","Valor Específico"
"Indicate 0.99 to round 9.43 to 9.99, indicate 0.5 to round 9.43 to 9.50.","Indique 0,99 para arredondar 9,43 a 9,99, indique 0,5 para arredondar 9,43 a 9,50."
"Please specify comma separated attribute codes like short_description, meta_keyword, meta_title, etc","Especifique os códigos de atributos separados por vírgulas, como por exemplo, short_description, meta_keyword, meta_title, etc"
"Replace in Attributes","Substituir em Atributos"
"Append Text Position","Anexar Posição do Texto"
"Product Linking Algorithms","Algoritmos de Vinculação de Produto"
Related,Relacionado
"Relate Direction","Relacionar Direção"
"Up-sell Direction","Direção de Up-sell"
"Cross-sell Direction","Direção de Venda Cruzada"
